Smartapp	category	Trigger-action	conditions
smart-nightlight	convenience	motion_sensor - lights on || illuminance_sensor threshold - lights off || timer - lights off	illuminance threshold - -
smart-security	safety & Security		
smartweather-station-controller	convenience		
sonos-music-modes	SmartThings Internal	locationMode - speaker	
sonos-remote-control	SmartThings Internal	button - speaker	
speaker-control	Smartthings Labs	motion_sensor - speaker || contact_sensor open - speaker || contact_sensor close - speaker || acceleration_sensor - speaker || switch on - speaker || switch off - speaker || presence_sensor present - speaker || presence_sensor not_present - speaker || smoke_detector - speaker || water_sensor wet - speaker || button - speaker || locationMode - speaker || time - speaker	
speaker-mood-music	Smartthings Labs		
speaker-notify-with-sound	Smartthings Labs	motion_sensor - speaker || contact_sensor open - speaker || contact_sensor close - speaker || acceleration_sensor - speaker || switch on - speaker || switch off - speaker || presence_sensor present - speaker || presence_sensor not_present - speaker || smoke_detector - speaker || water_sensor wet - speaker || button - speaker || locationMode - speaker || time - speaker	
speaker-weather-forecast	Smartthings Labs	motion_sensor - speaker || contact_sensor open - speaker || contact_sensor close - speaker || acceleration_sensor - speaker || switch on - speaker || switch off - speaker || presence_sensor present - speaker || presence_sensor not_present - speaker || smoke_detector - speaker || water_sensor wet - speaker || button - speaker || locationMode - speaker || time - speaker	
step-notifier	Smartthings Labs		
sunrise-sunset	mode magic	time - locationMode || time - lights on || time - lights off	
tesla-connect	Smartthings Labs		
text-me-when-it-opens	convenience	contact_sensor open - user_notify	
text-me-when-theres-motion-and-im-not-here	convenience	motion_sensor - user_notify	presence_sensor not_present
the-big-switch	convenience	switch off - lights on || switch on - lights on || switch off - lights off || switch on - lights off	
the-flasher	convenience	motion_sensor - lights on || contact_sensor open - lights on || switch on - lights on || presence_sensor present - lights on || acceleration_sensor - lights on	
the-gun-case-moved	safety & Security	acceleration_sensor - user_notify	
thermostats	SmartSolutions	smoke_detector - user_notify || CO_detector - user_notify	
device-tile-controller	SmartThings Internal		
turn-it-on-for-5-minutes	safety & Security	contact_sensor - switch on || timer - switch off	
turn-it-on-when-im-here	convenience	presence_sensor present - switch on || presence_sensor not_present - switch off	
turn-it-on-when-it-opens	convenience	contact_sensor - switch on	
turn-on-only-if-i-arrive-after-sunset	convenience	presence_sensor present and time - switch on || presence_sensor not_present - switch off	
ubi	-		
undead-early-warning	safety & Security	door_sensor open - lights on	
unlock-it-when-i-arrive	safety & Security	presence_sensor present - door_lock unlock	
virtual-device-creator	-		
virtual-thermostat	green living		
wattvision-manager	-		
when-its-going-to-rain	convenience		
withings-manager	-		
withings	Connections		
yoics-connect	Smartthings Internal	 	
sprayer-controller-2	My apps		
smart-alarm	safety & Security	locationMode - security_system armed || locationMode - security_system disarmed || security_alarm - lights on || security_alarm - user_notify	
stelpro-get-remote-temperature	convenience	 	
hello-home-phrase-director	convenience		
lighting-director	convenience		
routine-director	convenience		
thermostat-mode-director	Green living	door_sensor open - thermostat off || window_sensor open - thermostat off || temperature_sensor threshold - thermostat mode	
vacation-lighting-director	safety & Security	time - lights on || time - lights off	locationMode away
lock-it-at-a-specific-time	safety & Security	time - door_lock lock	
alfred-workflow	convenience		
smartblock-chat-sender	-		
smartblock-linker	-		
smartblock-manager	-		
smartblock-notifier	-		
quirky-connect	SmartThings Labs		
tcp-bulbs-connect	SmartThings Labs		
weatherbug-home	My apps		
